,question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
8,How is Reflection and Refraction different from other concepts in this category?,Physics,Reflection and Refraction,90.1,0.9,397.0,357.0,3.0,Understand,Easy
9,Mention the main components of Magnetic Effects of Current.,Physics,Magnetic Effects of Current,81.7,0.82,290.0,236.0,3.0,Remember,Easy
10,Critically examine the role of Human Eye and Colourful World in the current socio-political scenario.,Physics,Human Eye and Colourful World,33.5,0.33,319.0,106.0,10.0,Evaluate,Hard
11,Suggest three measures to improve the efficiency of Motion and Laws of Motion.,Physics,Motion and Laws of Motion,18.7,0.19,482.0,90.0,11.0,Create,Hard
12,Critically examine the role of Work and Energy in the current socio-political scenario.,Physics,Work and Energy,31.3,0.31,484.0,151.0,10.0,Evaluate,Hard
13,Discuss the challenges faced during the implementation of Gravitation in a developing country.,Physics,Gravitation,26.3,0.26,270.0,70.0,11.0,Evaluate,Hard
14,"In the context of Arithmetic Progressions, evaluate the statement: 'Prevention is better than cure.'",Mathematics,Arithmetic Progressions,40.1,0.4,475.0,190.0,16.0,Evaluate,Hard
15,"Differentiate between Trigonometric Identities and its alternative, giving three points of distinction.",Mathematics,Trigonometric Identities,49.8,0.5,476.0,237.0,6.0,Analyze,Medium
16,Suggest three measures to improve the efficiency of Coordinate Geometry.,Mathematics,Coordinate Geometry,38.1,0.38,546.0,208.0,19.0,Create,Hard
17,What is meant by Surface Areas and Volumes? Give one example.,Mathematics,Surface Areas and Volumes,73.5,0.73,490.0,360.0,3.0,Remember,Easy
18,Design an experiment to demonstrate the properties of Probability.,Mathematics,Probability,27.3,0.27,580.0,158.0,15.0,Create,Hard
19,Mention the main components of Linear Equations in Two Variables.,Mathematics,Linear Equations in Two Variables,78.6,0.79,520.0,408.0,3.0,Remember,Easy
20,Why is Triangles and Circles considered essential for the functioning of the system?,Mathematics,Triangles and Circles,64.2,0.64,329.0,211.0,9.0,Analyze,Medium
21,Mention the main components of Life Processes.,Biology,Life Processes,80.8,0.81,222.0,179.0,4.0,Remember,Easy
22,Suggest three measures to improve the efficiency of Control and Coordination.,Biology,Control and Coordination,31.4,0.31,517.0,162.0,17.0,Create,Hard
23,How is Heredity and Evolution different from other concepts in this category?,Biology,Heredity and Evolution,90.8,0.91,199.0,180.0,3.0,Understand,Easy
24,State the law of Our Environment.,Biology,Our Environment,78.1,0.78,319.0,249.0,4.0,Remember,Easy
25,Discuss the challenges faced during the implementation of Cell Structure and Functions in a developing country.,Biology,Cell Structure and Functions,36.3,0.36,173.0,62.0,14.0,Evaluate,Hard
26,"In the context of Tissues, evaluate the statement: 'Prevention is better than cure.'",Biology,Tissues,39.1,0.39,416.0,162.0,14.0,Evaluate,Hard
27,Explain the process of Diversity in Living Organisms with the help of a labeled diagram.,Biology,Diversity in Living Organisms,65.4,0.65,498.0,325.0,5.0,Apply,Medium
28,Write any two characteristics of Chemical Reactions and Equations.,Chemistry,Chemical Reactions and Equations,77.2,0.77,264.0,203.0,3.0,Understand,Easy
29,"Suggest three measures to improve the efficiency of Acids, Bases and Salts.",Chemistry,"Acids, Bases and Salts",19.2,0.19,508.0,97.0,11.0,Create,Hard
30,Explain the process of Metals and Non-metals with the help of a labeled diagram.,Chemistry,Metals and Non-metals,66.2,0.66,552.0,365.0,6.0,Apply,Medium
31,Explain the process of Carbon and its Compounds with the help of a labeled diagram.,Chemistry,Carbon and its Compounds,68.6,0.69,303.0,207.0,8.0,Apply,Medium
32,Mention the main components of Periodic Classification of Elements.,Chemistry,Periodic Classification of Elements,76.9,0.77,287.0,220.0,4.0,Remember,Easy
33,Calculate the value of Structure of the Atom given the standard parameters.,Chemistry,Structure of the Atom,49.1,0.49,403.0,198.0,6.0,Apply,Medium
34,Suggest three measures to improve the efficiency of The Rise of Nationalism in Europe.,History,The Rise of Nationalism in Europe,16.2,0.16,236.0,38.0,10.0,Create,Hard
35,How does Nationalism in India affect the overall outcome of the process? Explain.,History,Nationalism in India,65.8,0.66,520.0,342.0,8.0,Analyze,Medium
36,A student performs an experiment on The Making of a Global World. What observations would they record?,History,The Making of a Global World,54.4,0.54,418.0,227.0,7.0,Apply,Medium
37,"Differentiate between The Age of Industrialisation and its alternative, giving three points of distinction.",History,The Age of Industrialisation,60.3,0.6,251.0,151.0,9.0,Analyze,Medium
38,What is meant by Print Culture and the Modern World? Give one example.,History,Print Culture and the Modern World,71.5,0.72,423.0,302.0,2.0,Remember,Easy
39,Suggest three measures to improve the efficiency of Resources and Development.,Geography,Resources and Development,34.1,0.34,192.0,65.0,16.0,Create,Hard
40,Explain the process of Agriculture with the help of a labeled diagram.,Geography,Agriculture,61.8,0.62,587.0,362.0,6.0,Apply,Medium
41,Discuss the challenges faced during the implementation of Minerals and Energy Resources in a developing country.,Geography,Minerals and Energy Resources,41.0,0.41,407.0,166.0,11.0,Evaluate,Hard
42,Calculate the value of Manufacturing Industries given the standard parameters.,Geography,Manufacturing Industries,52.5,0.53,520.0,273.0,9.0,Apply,Medium
43,Design an experiment to demonstrate the properties of Lifelines of National Economy.,Geography,Lifelines of National Economy,33.9,0.34,394.0,133.0,12.0,Create,Hard
44,Discuss the challenges faced during the implementation of Development in a developing country.,Economics,Development,21.5,0.21,248.0,53.0,12.0,Evaluate,Hard
45,What is meant by Sectors of the Indian Economy? Give one example.,Economics,Sectors of the Indian Economy,84.4,0.84,358.0,302.0,4.0,Remember,Easy
46,Calculate the value of Money and Credit given the standard parameters.,Economics,Money and Credit,53.3,0.53,483.0,257.0,5.0,Apply,Medium
47,How does Globalization and the Indian Economy affect the overall outcome of the process? Explain.,Economics,Globalization and the Indian Economy,51.7,0.52,573.0,296.0,5.0,Analyze,Medium
48,Suggest three measures to improve the efficiency of Consumer Rights.,Economics,Consumer Rights,15.9,0.16,258.0,41.0,16.0,Create,Hard
49,How is C++ Programming different from other concepts in this category?,Computer Science,C++ Programming,71.1,0.71,527.0,374.0,2.0,Understand,Easy
50,"In the context of SQL Queries, evaluate the statement: 'Prevention is better than cure.'",Computer Science,SQL Queries,37.3,0.37,176.0,65.0,18.0,Evaluate,Hard
51,How is Python Lists and Tuples different from other concepts in this category?,Computer Science,Python Lists and Tuples,81.3,0.81,541.0,440.0,2.0,Understand,Easy
52,A student performs an experiment on Computer Networks (OSI Model). What observations would they record?,Computer Science,Computer Networks (OSI Model),69.5,0.69,340.0,236.0,9.0,Apply,Medium
53,Calculate the value of Boolean Algebra given the standard parameters.,Computer Science,Boolean Algebra,62.5,0.62,424.0,264.0,7.0,Apply,Medium
54,Critically examine the role of Cyber Safety in the current socio-political scenario.,Computer Science,Cyber Safety,33.9,0.34,186.0,63.0,13.0,Evaluate,Hard
55,Why is HTML/CSS Structure considered essential for the functioning of the system?,Computer Science,HTML/CSS Structure,59.6,0.6,243.0,144.0,9.0,Analyze,Medium
56,How is Electric Current and Circuits different from other concepts in this category?,Physics,Electric Current and Circuits,71.0,0.71,322.0,228.0,2.0,Understand,Easy
57,Write any two characteristics of Reflection and Refraction.,Physics,Reflection and Refraction,91.8,0.92,492.0,451.0,3.0,Understand,Easy
58,"In the context of Magnetic Effects of Current, evaluate the statement: 'Prevention is better than cure.'",Physics,Magnetic Effects of Current,19.8,0.2,459.0,90.0,12.0,Evaluate,Hard
59,Mention the main components of Human Eye and Colourful World.,Physics,Human Eye and Colourful World,72.4,0.72,443.0,320.0,2.0,Remember,Easy
60,Critically examine the role of Motion and Laws of Motion in the current socio-political scenario.,Physics,Motion and Laws of Motion,21.3,0.21,155.0,32.0,17.0,Evaluate,Hard
61,How is Work and Energy different from other concepts in this category?,Physics,Work and Energy,90.2,0.9,243.0,219.0,3.0,Understand,Easy
62,How does Gravitation affect the overall outcome of the process? Explain.,Physics,Gravitation,58.9,0.59,241.0,141.0,9.0,Analyze,Medium
64,How is Trigonometric Identities different from other concepts in this category?,Mathematics,Trigonometric Identities,75.6,0.76,570.0,430.0,2.0,Understand,Easy
65,A student performs an experiment on Coordinate Geometry. What observations would they record?,Mathematics,Coordinate Geometry,58.8,0.59,563.0,330.0,5.0,Apply,Medium
66,Mention the main components of Surface Areas and Volumes.,Mathematics,Surface Areas and Volumes,80.9,0.81,157.0,127.0,2.0,Remember,Easy
67,Discuss the challenges faced during the implementation of Probability in a developing country.,Mathematics,Probability,17.5,0.18,370.0,64.0,15.0,Evaluate,Hard
68,Explain the process of Linear Equations in Two Variables with the help of a labeled diagram.,Mathematics,Linear Equations in Two Variables,51.5,0.51,423.0,217.0,9.0,Apply,Medium
69,A student performs an experiment on Triangles and Circles. What observations would they record?,Mathematics,Triangles and Circles,47.9,0.48,379.0,181.0,8.0,Apply,Medium
70,Design an experiment to demonstrate the properties of Life Processes.,Biology,Life Processes,40.7,0.41,346.0,140.0,18.0,Create,Hard
71,"Differentiate between Control and Coordination and its alternative, giving three points of distinction.",Biology,Control and Coordination,50.1,0.5,159.0,79.0,7.0,Analyze,Medium
72,Write any two characteristics of Heredity and Evolution.,Biology,Heredity and Evolution,77.6,0.78,347.0,269.0,2.0,Understand,Easy
73,Critically examine the role of Our Environment in the current socio-political scenario.,Biology,Our Environment,37.8,0.38,255.0,96.0,10.0,Evaluate,Hard
74,Design an experiment to demonstrate the properties of Cell Structure and Functions.,Biology,Cell Structure and Functions,15.9,0.16,419.0,66.0,11.0,Create,Hard
75,Design an experiment to demonstrate the properties of Tissues.,Biology,Tissues,34.0,0.34,355.0,120.0,17.0,Create,Hard
76,Why is Diversity in Living Organisms considered essential for the functioning of the system?,Biology,Diversity in Living Organisms,69.2,0.69,328.0,226.0,6.0,Analyze,Medium
77,Design an experiment to demonstrate the properties of Chemical Reactions and Equations.,Chemistry,Chemical Reactions and Equations,31.9,0.32,172.0,54.0,15.0,Create,Hard
78,"Analyze the impact of Acids, Bases and Salts on the Indian economy over the last decade.",Chemistry,"Acids, Bases and Salts",37.5,0.38,344.0,129.0,17.0,Evaluate,Hard
79,State the law of Metals and Non-metals.,Chemistry,Metals and Non-metals,70.3,0.7,346.0,243.0,3.0,Remember,Easy
80,Suggest three measures to improve the efficiency of Carbon and its Compounds.,Chemistry,Carbon and its Compounds,41.7,0.42,420.0,175.0,17.0,Create,Hard
81,Suggest three measures to improve the efficiency of Periodic Classification of Elements.,Chemistry,Periodic Classification of Elements,33.5,0.33,524.0,175.0,14.0,Create,Hard
82,Write any two characteristics of Structure of the Atom.,Chemistry,Structure of the Atom,87.6,0.88,261.0,228.0,3.0,Understand,Easy
83,Analyze the impact of The Rise of Nationalism in Europe on the Indian economy over the last decade.,History,The Rise of Nationalism in Europe,19.2,0.19,266.0,51.0,18.0,Evaluate,Hard
84,Critically examine the role of Nationalism in India in the current socio-political scenario.,History,Nationalism in India,38.9,0.39,161.0,62.0,18.0,Evaluate,Hard
85,State the law of The Making of a Global World.,History,The Making of a Global World,74.9,0.75,233.0,174.0,2.0,Remember,Easy
86,Define the term The Age of Industrialisation. Mention its SI unit.,History,The Age of Industrialisation,77.7,0.78,427.0,331.0,4.0,Remember,Easy
87,State the law of Print Culture and the Modern World.,History,Print Culture and the Modern World,89.7,0.9,296.0,265.0,2.0,Remember,Easy
88,Write any two characteristics of Resources and Development.,Geography,Resources and Development,90.8,0.91,549.0,498.0,3.0,Understand,Easy
89,What is meant by Agriculture? Give one example.,Geography,Agriculture,76.8,0.77,336.0,257.0,3.0,Remember,Easy
90,Write any two characteristics of Minerals and Energy Resources.,Geography,Minerals and Energy Resources,81.1,0.81,159.0,128.0,3.0,Understand,Easy
91,How does Manufacturing Industries affect the overall outcome of the process? Explain.,Geography,Manufacturing Industries,56.9,0.57,376.0,213.0,7.0,Analyze,Medium
92,Analyze the impact of Lifelines of National Economy on the Indian economy over the last decade.,Geography,Lifelines of National Economy,29.4,0.29,589.0,173.0,19.0,Evaluate,Hard
93,A student performs an experiment on Development. What observations would they record?,Economics,Development,69.3,0.69,293.0,203.0,8.0,Apply,Medium
94,Discuss the challenges faced during the implementation of Sectors of the Indian Economy in a developing country.,Economics,Sectors of the Indian Economy,39.8,0.4,198.0,78.0,13.0,Evaluate,Hard
95,Explain the process of Money and Credit with the help of a labeled diagram.,Economics,Money and Credit,56.4,0.56,443.0,250.0,7.0,Apply,Medium
96,A student performs an experiment on Globalization and the Indian Economy. What observations would they record?,Economics,Globalization and the Indian Economy,64.4,0.64,579.0,373.0,5.0,Apply,Medium
97,"In the context of Consumer Rights, evaluate the statement: 'Prevention is better than cure.'",Economics,Consumer Rights,21.7,0.22,445.0,96.0,13.0,Evaluate,Hard
98,State the law of C++ Programming.,Computer Science,C++ Programming,89.1,0.89,391.0,348.0,3.0,Remember,Easy
99,What is meant by SQL Queries? Give one example.,Computer Science,SQL Queries,71.8,0.72,183.0,131.0,3.0,Remember,Easy
101,Discuss the challenges faced during the implementation of Computer Networks (OSI Model) in a developing country.,Computer Science,Computer Networks (OSI Model),43.8,0.44,229.0,100.0,19.0,Evaluate,Hard
102,Analyze the impact of Boolean Algebra on the Indian economy over the last decade.,Computer Science,Boolean Algebra,41.4,0.41,435.0,179.0,10.0,Evaluate,Hard
104,State the law of HTML/CSS Structure.,Computer Science,HTML/CSS Structure,90.2,0.9,571.0,515.0,4.0,Remember,Easy
106,Calculate the value of Reflection and Refraction given the standard parameters.,Physics,Reflection and Refraction,52.1,0.52,585.0,304.0,5.0,Apply,Medium
107,Critically examine the role of Magnetic Effects of Current in the current socio-political scenario.,Physics,Magnetic Effects of Current,26.4,0.26,311.0,82.0,18.0,Evaluate,Hard
108,Explain the process of Human Eye and Colourful World with the help of a labeled diagram.,Physics,Human Eye and Colourful World,67.0,0.67,525.0,351.0,8.0,Apply,Medium
109,Calculate the value of Motion and Laws of Motion given the standard parameters.,Physics,Motion and Laws of Motion,60.5,0.61,461.0,278.0,5.0,Apply,Medium
110,State the law of Work and Energy.,Physics,Work and Energy,76.0,0.76,318.0,241.0,4.0,Remember,Easy
111,Suggest three measures to improve the efficiency of Gravitation.,Physics,Gravitation,25.4,0.25,539.0,136.0,11.0,Create,Hard
112,How is Arithmetic Progressions different from other concepts in this category?,Mathematics,Arithmetic Progressions,72.5,0.73,597.0,433.0,3.0,Understand,Easy
113,Define the term Trigonometric Identities. Mention its SI unit.,Mathematics,Trigonometric Identities,81.9,0.82,187.0,153.0,2.0,Remember,Easy
114,What is meant by Coordinate Geometry? Give one example.,Mathematics,Coordinate Geometry,71.9,0.72,503.0,361.0,4.0,Remember,Easy
115,Analyze the impact of Surface Areas and Volumes on the Indian economy over the last decade.,Mathematics,Surface Areas and Volumes,32.5,0.33,460.0,149.0,17.0,Evaluate,Hard
116,Suggest three measures to improve the efficiency of Probability.,Mathematics,Probability,34.5,0.35,446.0,154.0,19.0,Create,Hard
117,How does Linear Equations in Two Variables affect the overall outcome of the process? Explain.,Mathematics,Linear Equations in Two Variables,45.6,0.46,306.0,139.0,7.0,Analyze,Medium
119,Calculate the value of Life Processes given the standard parameters.,Biology,Life Processes,64.2,0.64,281.0,180.0,8.0,Apply,Medium
120,State the law of Control and Coordination.,Biology,Control and Coordination,89.7,0.9,572.0,512.0,3.0,Remember,Easy
121,Analyze the impact of Heredity and Evolution on the Indian economy over the last decade.,Biology,Heredity and Evolution,31.8,0.32,468.0,148.0,11.0,Evaluate,Hard
122,Explain the process of Our Environment with the help of a labeled diagram.,Biology,Our Environment,69.1,0.69,168.0,116.0,6.0,Apply,Medium
124,How is Tissues different from other concepts in this category?,Biology,Tissues,78.0,0.78,540.0,421.0,4.0,Understand,Easy
126,Define the term Chemical Reactions and Equations. Mention its SI unit.,Chemistry,Chemical Reactions and Equations,75.3,0.75,219.0,164.0,3.0,Remember,Easy
127,"In the context of Acids, Bases and Salts, evaluate the statement: 'Prevention is better than cure.'",Chemistry,"Acids, Bases and Salts",43.7,0.44,454.0,198.0,13.0,Evaluate,Hard
128,What is meant by Metals and Non-metals? Give one example.,Chemistry,Metals and Non-metals,82.5,0.82,551.0,454.0,4.0,Remember,Easy
129,"In the context of Carbon and its Compounds, evaluate the statement: 'Prevention is better than cure.'",Chemistry,Carbon and its Compounds,38.1,0.38,230.0,87.0,10.0,Evaluate,Hard
130,Calculate the value of Periodic Classification of Elements given the standard parameters.,Chemistry,Periodic Classification of Elements,59.6,0.6,549.0,327.0,8.0,Apply,Medium
132,Mention the main components of The Rise of Nationalism in Europe.,History,The Rise of Nationalism in Europe,70.2,0.7,193.0,135.0,3.0,Remember,Easy
133,A student performs an experiment on Nationalism in India. What observations would they record?,History,Nationalism in India,47.6,0.48,178.0,84.0,5.0,Apply,Medium
135,Analyze the impact of The Age of Industrialisation on the Indian economy over the last decade.,History,The Age of Industrialisation,31.4,0.31,550.0,172.0,14.0,Evaluate,Hard
136,"In the context of Print Culture and the Modern World, evaluate the statement: 'Prevention is better than cure.'",History,Print Culture and the Modern World,38.2,0.38,234.0,89.0,10.0,Evaluate,Hard
137,Explain the process of Resources and Development with the help of a labeled diagram.,Geography,Resources and Development,68.4,0.68,227.0,155.0,6.0,Apply,Medium
138,How is Agriculture different from other concepts in this category?,Geography,Agriculture,89.2,0.89,394.0,351.0,4.0,Understand,Easy
139,State the law of Minerals and Energy Resources.,Geography,Minerals and Energy Resources,85.1,0.85,247.0,210.0,3.0,Remember,Easy
