age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,self-employed,married,secondary,no,-151,no,yes,cellular,30,aug,145,1,-1,0,unknown,no
31,blue-collar,married,secondary,yes,-144,yes,yes,unknown,13,may,400,4,-1,0,unknown,yes
33,unknown,married,unknown,no,3,no,no,telephone,15,jun,231,16,-1,0,unknown,yes
57,technician,married,tertiary,no,2577,no,no,cellular,5,dec,278,5,183,2,success,no
36,technician,married,secondary,no,60,yes,no,cellular,6,feb,337,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,131,yes,no,cellular,6,may,278,2,161,1,failure,no
46,blue-collar,married,primary,no,-70,yes,yes,unknown,19,jul,99,3,-1,0,unknown,no
42,blue-collar,married,primary,no,403,yes,yes,unknown,7,jun,532,3,0,0,unknown,no
48,management,married,tertiary,no,244,yes,no,cellular,21,apr,538,6,140,3,other,no
55,technician,divorced,secondary,yes,525,no,yes,cellular,16,feb,724,3,195,2,other,yes
26,unknown,single,unknown,no,1991,no,no,telephone,12,aug,42,4,-1,0,unknown,no
56,blue-collar,married,primary,no,6215,yes,no,telephone,7,jul,1270,1,-1,0,unknown,yes
34,management,married,tertiary,no,1069,no,yes,cellular,18,aug,586,2,-1,0,unknown,no
43,services,married,secondary,no,148,yes,no,cellular,15,may,303,2,355,0,unknown,no
35,blue-collar,divorced,primary,no,788,yes,no,unknown,8,jun,571,2,-1,0,unknown,no
31,management,married,tertiary,no,609,yes,no,cellular,13,sep,101,2,-1,0,other,no
25,student,single,secondary,no,593,no,no,cellular,14,jan,585,2,-1,0,unknown,yes
27,management,married,tertiary,no,708,yes,no,cellular,9,oct,73,1,91,3,success,no
42,entrepreneur,married,secondary,no,-159,yes,yes,cellular,18,apr,936,1,-1,0,unknown,no
47,entrepreneur,married,tertiary,no,2303,yes,no,cellular,15,oct,182,1,130,1,success,yes
27,student,single,secondary,no,-196,yes,no,telephone,26,may,602,1,-1,0,unknown,no
44,blue-collar,married,tertiary,no,753,no,no,cellular,3,feb,536,1,144,2,success,yes
40,technician,married,secondary,no,7459,no,no,cellular,26,aug,92,26,-1,0,unknown,no
47,blue-collar,married,primary,no,28,yes,no,unknown,15,may,81,3,-1,0,unknown,no
49,entrepreneur,married,secondary,yes,-1532,no,yes,unknown,27,aug,46,2,-1,0,unknown,no
49,management,married,tertiary,no,5086,yes,yes,cellular,20,jun,180,1,-1,0,failure,no
48,services,single,unknown,no,1503,no,no,unknown,8,jun,72,1,-1,0,unknown,no
27,student,single,secondary,no,817,no,no,unknown,19,jun,284,1,-1,0,unknown,no
30,blue-collar,single,secondary,yes,623,yes,no,cellular,26,jul,111,5,-1,0,unknown,no
59,self-employed,single,tertiary,no,6963,no,no,unknown,20,jun,106,2,-1,0,unknown,no
23,admin.,single,secondary,no,269,yes,no,cellular,19,nov,392,1,-1,0,failure,no
57,unemployed,married,secondary,no,911,yes,no,unknown,4,may,248,3,-1,0,unknown,no
32,technician,single,secondary,no,219,yes,no,unknown,21,may,307,4,-1,0,unknown,no
49,technician,divorced,secondary,no,602,no,no,cellular,28,dec,789,3,160,3,failure,no
57,technician,divorced,primary,no,89,no,no,unknown,4,jun,276,8,-1,0,unknown,no
31,admin.,single,secondary,no,200,yes,no,cellular,2,feb,205,1,-1,0,unknown,no
43,blue-collar,single,secondary,no,132,yes,no,cellular,4,may,151,3,348,5,failure,no
44,technician,married,secondary,no,578,no,yes,cellular,30,jul,192,2,-1,0,unknown,no
34,management,single,tertiary,no,514,no,no,cellular,29,aug,75,1,-1,0,unknown,no
56,housemaid,married,unknown,no,1083,yes,no,unknown,16,may,395,3,-1,0,unknown,yes
51,management,married,tertiary,no,47,yes,no,cellular,26,may,178,2,-1,0,unknown,no
50,technician,married,tertiary,yes,-944,yes,yes,cellular,19,jul,67,12,-1,0,unknown,no
42,services,single,secondary,no,358,yes,no,unknown,3,may,272,3,-1,0,unknown,no
51,management,married,tertiary,no,613,no,no,cellular,21,aug,311,1,-1,0,unknown,no
44,technician,married,unknown,no,212,yes,no,cellular,29,jul,972,16,-1,0,unknown,no
30,blue-collar,single,primary,no,584,no,yes,cellular,5,jul,415,4,-1,0,unknown,no
31,admin.,married,secondary,no,-389,no,no,cellular,22,nov,100,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,1606,yes,yes,unknown,8,may,645,3,-1,0,unknown,no
56,services,divorced,primary,yes,-177,yes,no,cellular,30,jul,287,2,-1,0,unknown,no
30,admin.,single,secondary,no,246,yes,no,cellular,9,may,238,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,221,yes,no,cellular,9,apr,459,1,-1,0,unknown,no
54,entrepreneur,married,primary,no,1908,no,no,unknown,2,jun,354,1,-1,0,unknown,no
37,technician,single,secondary,no,-100,no,no,cellular,26,may,261,5,-1,0,unknown,no
28,services,single,secondary,no,1310,no,no,cellular,28,may,310,6,347,3,other,no
39,blue-collar,married,primary,no,8642,no,no,cellular,13,aug,75,6,177,12,other,no
29,admin.,single,secondary,no,-47,yes,no,unknown,12,may,296,2,-1,0,unknown,no
60,retired,married,primary,yes,-101,no,no,unknown,17,may,389,1,-1,0,unknown,no
32,management,single,secondary,yes,24,no,no,cellular,21,jul,86,1,-1,0,unknown,no
43,services,married,unknown,no,79,yes,yes,telephone,19,jul,78,5,-1,0,unknown,no
33,unknown,single,unknown,no,1559,no,no,unknown,12,may,345,1,-1,0,unknown,no
53,entrepreneur,married,secondary,no,982,yes,no,unknown,3,feb,220,3,-1,0,unknown,no
41,technician,single,secondary,no,2180,yes,no,cellular,18,nov,90,5,92,13,other,no
29,blue-collar,single,secondary,no,983,yes,no,cellular,25,feb,403,1,-1,0,unknown,no
44,technician,single,secondary,no,1309,yes,no,cellular,18,may,106,4,352,3,other,no
60,retired,married,tertiary,no,438,yes,no,unknown,7,may,216,3,-1,0,unknown,no
32,technician,single,secondary,yes,-362,no,yes,cellular,30,jul,125,28,-1,0,unknown,no
20,admin.,single,secondary,no,227,yes,no,cellular,8,may,386,1,-1,0,unknown,no
39,technician,divorced,secondary,no,22,no,no,unknown,20,jun,213,3,-1,0,unknown,no
58,retired,married,primary,no,214,yes,no,telephone,18,may,271,1,158,3,unknown,no
32,technician,single,unknown,no,786,yes,no,telephone,19,jul,98,7,-1,0,unknown,no
33,self-employed,married,secondary,yes,717,yes,yes,cellular,21,jul,111,1,-1,0,unknown,no
25,blue-collar,single,secondary,no,1061,yes,no,cellular,29,jul,93,4,-1,0,unknown,no
22,blue-collar,married,primary,no,2822,yes,no,cellular,14,may,534,2,337,4,failure,no
30,blue-collar,married,secondary,no,400,yes,no,cellular,28,apr,235,4,255,0,unknown,no
31,services,single,secondary,yes,447,no,no,cellular,26,jul,273,2,-1,0,unknown,no
56,housemaid,married,secondary,no,1827,no,no,cellular,26,aug,21,11,-1,0,unknown,no
43,management,single,tertiary,no,7666,no,no,unknown,19,jun,64,4,-1,0,unknown,no
59,management,married,tertiary,no,530,no,yes,cellular,19,aug,87,2,-1,0,unknown,no
24,blue-collar,single,primary,no,1246,yes,no,cellular,28,may,140,3,-1,0,unknown,no
35,admin.,married,secondary,no,63,yes,no,unknown,19,jun,282,1,-1,0,unknown,no
36,services,single,tertiary,no,361,yes,no,unknown,28,may,288,3,-1,0,unknown,no
48,management,divorced,tertiary,no,7103,yes,no,cellular,21,nov,70,1,95,5,other,no
37,services,single,secondary,no,133,yes,no,unknown,22,may,852,4,-1,0,unknown,no
40,management,married,tertiary,no,158,no,no,telephone,29,oct,56,4,-1,0,unknown,no
51,entrepreneur,divorced,primary,no,4238,yes,no,cellular,20,may,818,3,-1,0,unknown,no
57,services,married,secondary,no,1190,no,no,cellular,14,nov,230,2,-1,0,unknown,yes
45,unemployed,divorced,secondary,no,276,yes,no,cellular,11,may,145,1,348,2,other,no
38,self-employed,divorced,primary,no,19037,yes,yes,cellular,22,nov,275,1,-1,0,unknown,no
31,admin.,single,secondary,no,666,yes,no,cellular,15,may,211,2,-1,0,unknown,no
26,technician,single,secondary,no,458,no,yes,cellular,30,jan,206,3,-1,0,unknown,no
29,technician,single,tertiary,no,1792,no,no,cellular,17,mar,428,4,119,3,other,yes
51,unknown,married,unknown,no,985,no,no,cellular,6,feb,374,4,0,0,unknown,no
35,technician,divorced,secondary,no,266,no,no,cellular,17,apr,554,2,92,0,other,yes
29,technician,divorced,secondary,no,566,no,no,cellular,27,aug,40,4,-1,0,unknown,no
57,housemaid,married,primary,no,1757,yes,no,telephone,7,aug,75,4,-1,0,unknown,no
68,retired,married,primary,no,2743,no,no,telephone,20,apr,118,2,-1,0,unknown,no
50,management,divorced,tertiary,no,957,yes,no,cellular,3,jul,585,3,-1,0,unknown,no
60,management,divorced,tertiary,no,843,no,no,cellular,5,aug,314,2,-1,0,unknown,no
31,management,single,tertiary,no,-80,no,no,cellular,27,aug,109,2,-1,0,unknown,no
40,blue-collar,divorced,primary,no,174,yes,no,cellular,4,jun,65,4,-1,0,unknown,no
30,blue-collar,single,secondary,no,-290,yes,no,unknown,18,may,203,1,-1,0,unknown,no
41,technician,married,secondary,no,387,yes,yes,cellular,28,may,217,3,-1,0,unknown,no
54,technician,married,secondary,no,325,no,no,telephone,27,jul,362,3,-1,0,unknown,no
39,services,married,secondary,no,550,yes,no,unknown,8,may,131,3,-1,0,unknown,no
43,blue-collar,single,secondary,no,1842,no,no,unknown,2,jun,288,1,-1,0,unknown,yes
58,retired,divorced,secondary,no,4025,no,no,cellular,21,nov,309,1,-1,1,unknown,no
58,technician,divorced,secondary,no,71,yes,yes,cellular,2,feb,113,1,270,4,failure,no
46,technician,divorced,secondary,no,869,yes,no,cellular,15,may,66,6,357,4,other,no
21,services,single,secondary,no,324,yes,no,cellular,17,apr,659,2,352,1,other,yes
40,services,married,secondary,no,1787,yes,no,cellular,21,nov,455,4,-1,0,unknown,no
46,services,married,primary,no,360,no,no,cellular,15,aug,53,3,-1,0,unknown,no
57,technician,divorced,secondary,no,65,no,no,cellular,11,aug,286,3,-1,0,unknown,yes
59,technician,married,tertiary,no,984,yes,no,cellular,27,jan,69,4,-1,0,unknown,no
43,blue-collar,married,secondary,no,1174,yes,no,cellular,12,jul,581,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,5470,yes,no,cellular,16,may,333,4,96,1,failure,no
55,technician,married,secondary,no,362,yes,no,unknown,26,jun,1367,3,-1,0,unknown,no
36,admin.,single,secondary,no,725,yes,no,cellular,8,may,379,1,-1,2,unknown,no
56,retired,divorced,primary,no,1177,yes,no,telephone,15,jul,342,2,-1,0,unknown,no
37,technician,divorced,secondary,no,75,yes,no,cellular,16,nov,90,1,-1,0,unknown,no
38,services,single,secondary,no,482,no,no,cellular,25,may,353,2,-1,0,unknown,no
31,entrepreneur,married,secondary,no,-9,yes,no,unknown,21,may,227,1,-1,0,unknown,no
47,technician,single,secondary,no,810,yes,no,cellular,20,nov,405,1,-1,0,unknown,no
29,admin.,single,secondary,no,2387,no,no,cellular,28,jul,908,3,-1,0,unknown,no
29,services,single,secondary,no,-65,yes,no,cellular,7,may,196,2,-1,0,unknown,no
31,blue-collar,single,unknown,no,7,yes,no,unknown,13,may,196,2,-1,0,unknown,no
42,admin.,married,secondary,no,1265,yes,no,unknown,11,jun,6,4,0,0,unknown,no
56,entrepreneur,married,tertiary,no,1906,yes,no,unknown,17,feb,480,4,-1,0,unknown,no
39,services,divorced,secondary,no,265,yes,no,cellular,16,jul,430,4,-1,0,unknown,no
55,technician,divorced,secondary,no,861,no,no,telephone,14,dec,33,3,190,7,failure,no
29,technician,single,secondary,no,57,yes,no,cellular,16,may,314,1,92,3,failure,yes
47,blue-collar,married,unknown,no,1285,yes,no,unknown,22,may,46,2,-1,0,unknown,no
71,technician,married,tertiary,no,2170,no,no,cellular,2,oct,395,2,109,1,other,yes
53,unemployed,married,secondary,no,606,yes,no,cellular,7,feb,412,3,-1,0,unknown,yes
51,technician,married,unknown,no,885,yes,no,cellular,8,feb,350,1,120,1,other,yes
38,management,single,tertiary,no,7935,no,no,cellular,9,dec,245,2,186,5,failure,yes
23,student,single,unknown,no,30,no,no,cellular,15,may,104,2,-1,0,unknown,no
30,technician,divorced,secondary,no,797,no,no,cellular,26,aug,549,4,-1,0,unknown,no
33,management,single,tertiary,yes,919,no,no,cellular,30,nov,248,3,-1,0,unknown,no
54,technician,divorced,secondary,no,62,no,no,cellular,18,may,134,4,350,1,unknown,no
28,technician,married,secondary,no,1202,yes,yes,cellular,7,jan,182,3,-1,0,unknown,no
18,technician,single,unknown,no,9935,no,no,cellular,11,apr,394,7,-1,0,unknown,no
31,services,single,secondary,no,70,yes,no,cellular,7,may,255,4,368,1,failure,no
60,unemployed,divorced,secondary,no,-141,yes,no,cellular,18,may,536,3,-1,0,unknown,no
27,blue-collar,single,secondary,no,440,yes,no,cellular,19,nov,174,3,-1,0,unknown,no
41,technician,married,tertiary,no,2459,yes,no,cellular,17,apr,620,4,108,1,failure,yes
49,services,married,secondary,no,519,no,no,cellular,7,aug,291,1,188,3,failure,no
40,blue-collar,single,secondary,no,234,yes,no,unknown,5,may,714,3,-1,0,unknown,yes
53,blue-collar,married,secondary,no,469,no,no,cellular,20,nov,357,1,186,2,failure,no
30,services,single,tertiary,no,1279,no,no,cellular,19,nov,279,1,90,2,other,no
60,services,married,secondary,no,1580,no,no,unknown,18,jun,107,3,-1,0,unknown,no
33,services,single,secondary,no,97,yes,no,cellular,16,feb,340,1,-1,0,unknown,no
31,technician,single,tertiary,no,114,yes,no,cellular,4,jul,601,2,-1,0,unknown,no
29,self-employed,single,tertiary,no,455,no,no,cellular,8,feb,161,1,-1,0,unknown,no
44,services,married,secondary,no,612,yes,no,unknown,13,may,503,2,-1,0,unknown,no
30,management,single,tertiary,no,779,yes,no,cellular,17,aug,194,4,-1,0,unknown,no
70,retired,married,secondary,no,10741,no,no,cellular,8,sep,31,1,179,7,failure,no
58,housemaid,divorced,primary,no,2190,no,no,telephone,11,nov,118,1,-1,0,unknown,yes
34,student,single,tertiary,no,913,no,no,unknown,17,jun,281,3,-1,0,unknown,yes
38,blue-collar,single,unknown,no,782,no,no,cellular,15,aug,75,1,-1,0,unknown,no
54,blue-collar,single,secondary,yes,668,yes,no,cellular,5,may,664,6,338,12,other,no
54,technician,divorced,secondary,no,486,yes,no,cellular,3,feb,277,1,-1,0,unknown,no
39,housemaid,married,primary,no,956,yes,no,telephone,13,jun,117,10,-1,0,unknown,no
41,services,divorced,secondary,yes,530,yes,yes,unknown,8,may,406,2,344,4,failure,no
56,unemployed,married,secondary,no,259,no,yes,cellular,18,jul,178,1,-1,0,unknown,no
27,technician,single,primary,no,4257,no,no,cellular,16,jul,204,10,-1,0,unknown,yes
31,technician,single,tertiary,no,-37,yes,no,cellular,4,feb,369,1,99,3,other,yes
41,blue-collar,married,secondary,no,32,no,no,cellular,19,jul,97,1,-1,0,unknown,no
37,unemployed,married,primary,no,1490,yes,no,unknown,18,may,320,3,-1,0,unknown,no
30,technician,single,secondary,no,553,no,no,cellular,5,aug,175,1,86,3,success,no
37,student,single,unknown,no,2586,no,no,unknown,18,jun,205,10,-1,0,unknown,no
49,self-employed,married,secondary,no,377,yes,no,cellular,19,feb,371,1,-1,0,unknown,no
56,retired,married,primary,no,1181,no,no,cellular,31,jul,54,1,-1,0,unknown,no
37,technician,single,primary,no,22885,no,no,unknown,2,jun,712,2,-1,0,unknown,yes
31,management,single,tertiary,no,246,yes,no,cellular,27,aug,75,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,199,yes,no,unknown,6,may,665,5,-1,0,unknown,no
33,admin.,married,secondary,no,-14,yes,no,cellular,15,apr,213,1,-1,0,unknown,no
34,management,single,tertiary,no,29,no,no,cellular,5,feb,295,2,-1,0,unknown,yes
52,entrepreneur,married,secondary,no,1003,yes,no,telephone,8,may,540,4,0,0,unknown,yes
34,self-employed,single,tertiary,no,400,yes,no,cellular,15,may,348,2,-1,0,unknown,no
28,technician,divorced,tertiary,no,816,yes,no,cellular,30,jan,56,1,240,1,failure,no
32,blue-collar,single,secondary,no,63,no,no,unknown,19,apr,620,6,-1,0,unknown,no
37,technician,married,unknown,no,557,no,no,telephone,10,oct,102,3,-1,0,unknown,no
32,unemployed,single,secondary,no,239,yes,no,unknown,28,may,178,4,-1,0,unknown,no
48,management,married,tertiary,no,8750,yes,no,cellular,19,aug,679,2,124,1,other,no
29,services,divorced,secondary,yes,-73,yes,yes,cellular,20,may,899,1,-1,0,unknown,no
33,management,married,tertiary,no,2192,yes,no,cellular,15,may,579,3,-1,0,unknown,no
32,management,married,tertiary,no,-1236,yes,no,unknown,7,apr,186,2,-1,0,unknown,no
48,self-employed,married,tertiary,no,584,yes,no,cellular,21,nov,372,1,180,2,failure,no
27,blue-collar,married,secondary,no,349,yes,no,cellular,21,may,165,2,344,2,failure,no
33,technician,married,tertiary,no,381,yes,no,cellular,25,aug,57,4,-1,0,unknown,no
