Vendor,Vendor State,NIC Codes,Certifications,Udyam No,Tender,Tender Category,Tender State,Estimated Value,Overall Score,Status,Confidence
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,"END POINT PROTECTION SOFTWARE (SERVER AND CLIENT),END POINT PROTECTION SOFTWARE (SERVER AND CLIENT),KASPERSKY NEXT ED...",General Procurement,Central Government,30250000.0,80.0,ELIGIBLE,90.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Smartphone (V2),Information Technology,Central Government,300000.0,70.0,AT RISK,80.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Tablet Computer (V2),Information Technology,Maharashtra,1750000.0,70.0,AT RISK,80.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,All in One PC (V2),Information Technology,Central Government,2611934.0,70.0,AT RISK,80.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,NCC ADMINISTRATION DASHBOARD SOFTWARE,General Procurement,Central Government,50000.0,70.0,AT RISK,80.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Custom Bid for Services - AMC OF FIBER OPTIC GIGA NETWORK LAN ALONG WITH INTERNET CONNECTIVITY VIA UTM FOR 03 YEAR AS...,Custom Bid for Services AMC,Central Government,300000.0,70.0,AT RISK,80.0
Tyagi,Delhi (NCR),"80100, 81210, 81220","MSME, ISO-9001, ISO-14001, UDYAM, ISO-27001, GEM-SP, GEM-OEM, NSIC",N/A,"Cleaning, Sanitation and Disinfection Service - Outcome Based - Office/Commercial/Institutions/Residential; Vegetatio...",Housekeeping & Cleaning,Central Government,1000000.0,70.0,AT RISK,60.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,"Repair and Overhauling Service - Two Wheeler - Motor Cycles and Scooters and Mopeds; TVS Motor; No; Buyer Premises,Re...",Repair and Overhauling Service Two,Jammu and Kashmir,N/A,65.0,AT RISK,70.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Interactive Panels with CPU,Information Technology,Central Government,224849.0,65.0,AT RISK,70.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Relocation of Server Room,General Procurement,Central Government,84242.0,65.0,AT RISK,70.0
Vaibhav Tech Solutions,Maharashtra,"33471, 61011",MSME,N/A,"Supply of 3 TR Ductable Inverter type Aircooled split AC unit,Installation Testing and Commissioning of 3 TR Ductable...",Multi-Item Procurement (BOQ),Andhra Pradesh,2560564.0,60.0,AT RISK,70.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"AC Cassette Unit 3 Ton,AC Cassette Unit 1.5 Ton,AC Cassette Unit 2 Ton,AC Split Unit 1 Ton,AC Cassette Unit 2 Ton,AC ...",Multi-Item Procurement (BOQ),Delhi,1000000.0,60.0,AT RISK,70.0
GemEdge,Delhi (NCR),"10000, 11000","MSME, UDYAM, ISO-9001, ISO-14001, GEM-SP, GEM-OEM, FSSAI",N/A,"HOSE ASSEMBLY WITH FLOW INDICATOR,INTERCONNECTING HOSE ASSEMBLY",General Procurement,Central Government,N/A,60.0,AT RISK,70.0
Sharma Tech Solutions Pvt. Ltd.,Haryana,"62011, 62012, 62020, 80200, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,953EGB0422 WIRE HARNESS KIT,General Procurement,Central Government,959500.0,60.0,AT RISK,70.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Custom Bid for Services - COMPREHENSIVE AMC OF SERVER FOR 03 YEARS,Custom Bid for Services COMPREHENSIVE,Central Government,200000.0,60.0,AT RISK,70.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"Entry and Mid Level Desktop Computer,All in One PC (V2),All in One PC (V2),All in One PC (V2),All in One PC (V2),Line...",Information Technology,Central Government,1500000.0,60.0,AT RISK,70.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Computer Monitor (V2),Information Technology,Central Government,1275000.0,60.0,AT RISK,70.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,Call Centre Service - Per Seat Basis - Cloud based call center solution; Onsite,Call Centre Service Per Seat,Uttar Pradesh,N/A,60.0,AT RISK,70.0
GP Tech Solutions,Maharashtra,"33471, 62071",MSME,N/A,Monthly Basis Cab & Taxi Hiring Services - Sedan; 2500 km x 320 hours; Local,Monthly Basis Cab Taxi Hiring,Central Government,200000.0,60.0,AT RISK,70.0
Vaibhav Tech Solutions,Maharashtra,"33471, 61011",MSME,N/A,"Teeth,Lock Key,Washer,Filter oil,Filter oil,Filter suction,Filter for fuel tank,AVX water tank,Cutter size,Bolt",Multi-Item Procurement (BOQ),Central Government,2337121.0,55.0,AT RISK,60.0
Vaibhav Tech Solutions,Maharashtra,"33471, 61011",MSME,N/A,CATIA & ENOVIA licenses under Yearly License Charge (YLC),General Procurement,Central Government,1239699.0,55.0,AT RISK,60.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,"NVDA Screen Reader software,NVDA Screen Reader software,NVDA Screen Reader software,NVDA Screen Reader software,NVDA ...",Multi-Item Procurement (BOQ),West Bengal,50995455.0,55.0,AT RISK,60.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,High End Desktop Computer,Information Technology,Central Government,N/A,55.0,AT RISK,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,Custom Bid for Services - 9030C26B45 Mechanical Agency for HGU III Reformer Furnace M and I Shutdown Jobs at Gujarat ...,Custom Bid for Services 9030C26B45,Gujarat,5520000.0,45.0,AT RISK,60.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,DISPLAY PANEL OF CIM (COMPUTER INTERFACE MODULE),General Procurement,Central Government,N/A,45.0,AT RISK,60.0
Sharma Manufacturer,Haryana,"13000, 14130, 18130","MSME, UDYAM, ISO-14001",N/A,Custom Bid for Services - ----,Custom Bid for Services ----,West Bengal,N/A,45.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,"Forbes Marshall make DP type flow gauge sr no 1,Forbes Marshall make DP type flow gauge sr no 1,Forbes Marshall make ...",Multi-Item Procurement (BOQ),Rajasthan,1006580.0,45.0,AT RISK,60.0
Vaibhav Tech Solutions,Maharashtra,"33471, 61011",MSME,N/A,"Cylinder Carbon Dioxide Co2 Gas For,Cylinder Carbon Dioxide Co2 Gas For,Cylinder Carbon Dioxide Co2 Gas For,Cylinder ...",Multi-Item Procurement (BOQ),Central Government,50000.0,45.0,AT RISK,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,Local Chemist Empanelment Service - Any medicines as per requirement; 50 Kms,Local Chemist Empanelment Service Any,Central Government,750000.0,45.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Remote Video Monitoring, Monitor Operations, Even...",INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE,Jharkhand,481019108.0,45.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,"EXTERNAL CIRCLIP A017X1.0 AS PER DIN471,INTERNAL CIRCLIP SB026 AS PER DIN-9928,EXTERNAL CIRCLIP SW15 AS PER DIN-9927,...",General Procurement,Central Government,46750000.0,45.0,AT RISK,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,Custom Bid for Services - AMBIENT AIR QUALITY STACK NOISE MONITORING WATER EFFLUENT STP WATER ANALYSIS AND HW ANALYSI...,Custom Bid for Services AMBIENT,Central Government,53333.0,45.0,AT RISK,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,"52421150,52421151,SL1,SL2,SL3,SL5,SL6,5242100036,SL7,SL8",Multi-Item Procurement (BOQ),Central Government,7920000.0,45.0,AT RISK,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,"6101004099 SECOND RIGHT HAND RIB 184.04.049 1,6101004099 SECOND RIGHT HAND RIB 184.04.049 1,6101004099 SECOND RIGHT H...",Multi-Item Procurement (BOQ),Central Government,18917995.0,45.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,30Z5100093 - VALVE ASSY,General Procurement,Central Government,8580000.0,40.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,"MTR, SCIM, 415V, 315L, SEC, 1500RPM, 160KW",General Procurement,Central Government,55000.0,40.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,Monthly Basis Cab & Taxi Hiring Services - MUV; 2000 km x 320 hours; Outstation,Monthly Basis Cab Taxi Hiring,Central Government,200000.0,40.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,Internal Combustion Engine Crankcase Oils for Automotive Application (V2) Conforming to IS 13656,Internal Combustion Engine Crankcase Oils,Central Government,3585349.0,40.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,Universal Pipette Tips (V2),Laboratory Equipment,Central Government,825000.0,40.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,"Cordless Brushless Impact Wrench (ONGC),Cordless Brushless Impact Wrench (ONGC)",Hand Tools & Equipment,Central Government,1713940.0,40.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,"M. S. PIPE, 50 NB",General Procurement,Central Government,1375000.0,40.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,"Calipers (V2),Concrete Test Hammer (Rebound Hammer)",Laboratory Equipment,Central Government,55000.0,40.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,"Open Coil Spring Packaging 1 pack of 1 piece as per specification attached,Dental Ligature Wire Spool Packaging 1 pac...",Multi-Item Procurement (BOQ),Central Government,9090000.0,40.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,"962750210000-MICRO LIMIT SWITCH-FM-OPD-AR,962750210000-MICRO LIMIT SWITCH-FM-OPD-AR,962750210000-MICRO LIMIT SWITCH-F...",General Procurement,Central Government,22725000.0,35.0,AT RISK,60.0
Saini Enterprises,Punjab,11000,FSSAI,UDHAM-1256,"40 NB_VENT V-V_FLOAT TYP_MS-GALV,50 NB_VENT V-V_FLOAT TYP_MS-GALV,50 NB_VENT V-V_WTH FLAME ARRSTR_MS-GALV,65 NB_VENT ...",Multi-Item Procurement (BOQ),Central Government,1039970.0,35.0,AT RISK,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,"RFQ Item No 1290 SAP Code 4625048104 PR Item No 1290,RFQ Item No 1290 SAP Code 4625048104 PR Item No 1290,RFQ Item No...",Multi-Item Procurement (BOQ),Central Government,29920000.0,20.0,NOT_ELIGIBLE,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,"Illumina NovaSeq X Series 25B Rgt Kit, 300 cyc - 48 samples",General Procurement,Karnataka,1027531.0,15.0,NOT_ELIGIBLE,60.0
Sharma enterprises,Uttar Pradesh,N/A,N/A,N/A,PROGRAMMABLE SPEED MONITOR,General Procurement,Karnataka,12750000.0,15.0,NOT_ELIGIBLE,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,"Manpower Outsourcing Services - Minimum wage - Skilled; Diploma; Admin,Manpower Outsourcing Services - Minimum wage -...",Manpower Outsourcing Services,Central Government,1300000.0,15.0,NOT_ELIGIBLE,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,"Inj Meloxicam and paracetamol vial of 100ml,Inj Dexamethasone vial of 30ml,Inj B complex with liver extract vial of 3...",Multi-Item Procurement (BOQ),Central Government,1606500000.0,15.0,NOT_ELIGIBLE,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,"Split Air Conditioner, Floor Mount Type (V3) ISI Marked to IS 1391 (Part 2)",Distribution & HVAC Equipment,Central Government,55000.0,15.0,NOT_ELIGIBLE,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,Internal Combustion Engine Crankcase Oils for Automotive Application (V2) Conforming to IS 13656,Internal Combustion Engine Crankcase Oils,Central Government,1102500000.0,15.0,NOT_ELIGIBLE,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,"MTR, SCIM, 415V, 315L, SEC, 1500RPM, 160KW",General Procurement,Central Government,55000.0,15.0,NOT_ELIGIBLE,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,SOLID CARBIDE DELTA DRILL DIA 5.1MM AS PER SPECI 5.1MM DIA X FL 46 X OAL 84 X SD 6 (L/07) THROUGH CO,General Procurement,Central Government,105000000.0,15.0,NOT_ELIGIBLE,60.0
Chotaman,Andhra Pradesh,N/A,N/A,XK KVKRC E6463,BRANCH PIPE ASSY / 188.32. 047CB-2CB,General Procurement,Central Government,330000.0,15.0,NOT_ELIGIBLE,60.0
xyz tech pvt ltd,Madhya Pradesh,"62012, 80200, 70220, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"Update, Maintenance and Support (UMS) of 01 PV Elite CX Software License for ONE year",General Procurement,Central Government,2525000.0,0.0,NOT_ELIGIBLE,60.0
Sharma Enterprises,Delhi (NCR),"52231, 52243, 33200, 3312, 33129","MSME, UDYAM, GEM-SP",UDYAM-DL-02-0019489,"Entry and Mid Level Desktop Computer,All in One PC (V2),All in One PC (V2),All in One PC (V2),All in One PC (V2),Line...",Information Technology,Central Government,1500000.0,0.0,NOT_ELIGIBLE,60.0
GP Tech Solutions,Maharashtra,"33471, 62071",MSME,N/A,"Entry and Mid Level Desktop Computer,All in One PC (V2),All in One PC (V2),All in One PC (V2),All in One PC (V2),Line...",Information Technology,Central Government,1500000.0,0.0,NOT_ELIGIBLE,60.0
GP Tech Solutions,Maharashtra,"33471, 62071",MSME,N/A,"CENTRIFUGAL PUMP, METSO, HM 150 LHC-S C5",General Procurement,Central Government,27500.0,0.0,NOT_ELIGIBLE,60.0
Bansal Pvt. Ltd.,Uttar Pradesh,"62011, 62020, 10000, 11000, 62012, 80100, 80200","ISO-14001, MSME, UDYAM",N/A,Refined Sunflower Oil (V4) (Defence),Food Products,Central Government,N/A,0.0,NOT_ELIGIBLE,60.0
Sharma Tech Solutions Pvt. Ltd.,Haryana,"62011, 62012, 62020, 80200, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"Camera for CCTV System (V3),Camera for CCTV System (V3)",Law Enforcement Equipment,Central Government,462000.0,0.0,NOT_ELIGIBLE,60.0
Wanode Digital Solutions Pvt Ltd,Maharashtra,"62011, 62020, 17230","MSME, ISO-9001, DPIIT-SC",UDYAM-MH-26-0123456,Plain Copier Paper (V3) ISI Marked to IS 14490,Paper & Stationery,Central Government,331650.0,0.0,NOT_ELIGIBLE,60.0
xyz tech pvt ltd,Madhya Pradesh,"62012, 80200, 70220, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"Custom Bid for Services - AMC FOR MAINTENANCE OF ONE No Of UNMANNED 60MT WEIGH BRIDGE, WITH SOFTWARE SUPPORT AND TWO ...",Custom Bid for Services AMC,Central Government,N/A,0.0,NOT_ELIGIBLE,60.0
Tyagi,Delhi (NCR),"80100, 81210, 81220","MSME, ISO-9001, ISO-14001, UDYAM, ISO-27001, GEM-SP, GEM-OEM, NSIC",N/A,Custom Bid for Services - CPCLY26112 Cleaning of pipelines / transfer line / de-choking using Rotomol / RHD during Re...,Custom Bid for Services CPCLY26112,Tamil Nadu,2300000.0,0.0,NOT_ELIGIBLE,60.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"Custom Bid for Services - AMC FOR MAINTENANCE OF ONE No Of UNMANNED 60MT WEIGH BRIDGE, WITH SOFTWARE SUPPORT AND TWO ...",Custom Bid for Services AMC,Central Government,N/A,0.0,NOT_ELIGIBLE,60.0
Tyagi,Delhi (NCR),"80100, 81210, 81220","MSME, ISO-9001, ISO-14001, UDYAM, ISO-27001, GEM-SP, GEM-OEM, NSIC",N/A,"Pest and Animal Control Service - Maintenance Contract; 1 month; General Pests/Insects Control,Pest and Animal Contro...",Housekeeping & Cleaning,Central Government,500000.0,0.0,NOT_ELIGIBLE,60.0
GemEdge,Delhi (NCR),"10000, 11000","MSME, UDYAM, ISO-9001, ISO-14001, GEM-SP, GEM-OEM, FSSAI",N/A,"Refined Sunflower Oil (V4) (Defence),Refined Sunflower Oil (V4) (Defence),Refined Sunflower Oil (V4) (Defence),Refine...",Food Products,Central Government,950000.0,0.0,NOT_ELIGIBLE,60.0
Sharma Tech Solutions Pvt. Ltd.,Haryana,"62011, 62012, 62020, 80200, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Portable Fire Extinguishers (V3) ISI Marked to IS 15683,Law Enforcement Equipment,Central Government,848000.0,0.0,NOT_ELIGIBLE,60.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,"Hand piece lubricant spray bott of 500ml,Hand piece lubricant spray bott of 500ml,Hand piece lubricant spray bott of ...",Multi-Item Procurement (BOQ),Central Government,4937576.0,0.0,NOT_ELIGIBLE,60.0
Bansal Pvt. Ltd.,Uttar Pradesh,"62011, 62020, 10000, 11000, 62012, 80100, 80200","ISO-14001, MSME, UDYAM",N/A,AutoCAD 2025 Software online activation for one year,General Procurement,Central Government,1425758.0,0.0,NOT_ELIGIBLE,60.0
Sharma Manufacturer,Haryana,"13000, 14130, 18130","MSME, UDYAM, ISO-14001",N/A,CLAMP ASSY / 166.29. 311CB,General Procurement,Central Government,10642500.0,0.0,NOT_ELIGIBLE,60.0
Tyagi,Delhi (NCR),"80100, 81210, 81220","MSME, ISO-9001, ISO-14001, UDYAM, ISO-27001, GEM-SP, GEM-OEM, NSIC",N/A,"Stable Bleaching Powder for Household and Industrial use (V3) conforming to IS 1065 (Part 1),Sweeping Broom (V5),Swee...",Cleaning & Janitorial Services,Central Government,7817500.0,0.0,NOT_ELIGIBLE,60.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,Warehousing Service - Per MT - Annual Basis - Food grain storage; Dry /normal warehouse.; Godown with services (prese...,Warehousing Service Per Annual Basis,Kerala,12700000.0,0.0,NOT_ELIGIBLE,60.0
Bansal Pvt. Ltd.,Uttar Pradesh,"62011, 62020, 10000, 11000, 62012, 80100, 80200","ISO-14001, MSME, UDYAM",N/A,Safety Footwear (V3) ISI marked to IS 15298 (Part 2),Law Enforcement Equipment,Central Government,3800730.0,0.0,NOT_ELIGIBLE,50.0
Sharma Manufacturer,Haryana,"13000, 14130, 18130","MSME, UDYAM, ISO-14001",N/A,Winter Jacket,Apparel & Clothing,Central Government,28478181.0,0.0,NOT_ELIGIBLE,50.0
GemEdge,Delhi (NCR),"10000, 11000","MSME, UDYAM, ISO-9001, ISO-14001, GEM-SP, GEM-OEM, FSSAI",N/A,Refined Mustard Oil (V4) (Defence),Food Products,Central Government,43792136.0,0.0,NOT_ELIGIBLE,50.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,Portable X - Ray Machine (V2),Medical Equipment & Supplies,Central Government,N/A,0.0,NOT_ELIGIBLE,50.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"Hiring of Professionals for Cloud, Network and Security - Network related roles; Network Support Engineer; 3 years an...","Hiring Professionals for Cloud, Network",Unknown,1000000.0,0.0,NOT_ELIGIBLE,50.0
GP Tech Solutions,Maharashtra,"33471, 62071",MSME,N/A,"Manpower Outsourcing Services - Minimum wage - Skilled; ITI; Others,Manpower Outsourcing Services - Minimum wage - Se...",Manpower Outsourcing Services,Central Government,5000000.0,0.0,NOT_ELIGIBLE,50.0
Bansal Pvt. Ltd.,Uttar Pradesh,"62011, 62020, 10000, 11000, 62012, 80100, 80200","ISO-14001, MSME, UDYAM",N/A,Ration Kit,Food Products,Uttar Pradesh,7683531.0,0.0,NOT_ELIGIBLE,50.0
Bansal Pvt. Ltd.,Uttar Pradesh,"62011, 62020, 10000, 11000, 62012, 80100, 80200","ISO-14001, MSME, UDYAM",N/A,Safes (V3) ISI Marked to IS 550,Law Enforcement Equipment,Uttar Pradesh,300000.0,0.0,NOT_ELIGIBLE,50.0
Tyagi,Delhi (NCR),"80100, 81210, 81220","MSME, ISO-9001, ISO-14001, UDYAM, ISO-27001, GEM-SP, GEM-OEM, NSIC",N/A,Scrubber Dryer Floor Cleaning Machine (V2),Cleaning & Janitorial Services,Central Government,35000.0,0.0,NOT_ELIGIBLE,50.0
GP Tech Solutions,Maharashtra,"33471, 62071",MSME,N/A,0Z3280989 - REAR SEAL (DOUBLE LIP),General Procurement,Central Government,8057500.0,0.0,NOT_ELIGIBLE,50.0
Sharma Tech Solutions Pvt. Ltd.,Haryana,"62011, 62012, 62020, 80200, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Warehousing Service - Per MT - Annual Basis - Food grain storage; Dry /normal warehouse.; Godown with services (prese...,Warehousing Service Per Annual Basis,Kerala,5600000.0,0.0,NOT_ELIGIBLE,50.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,"Local Chemist Empanelment Service - Branded Medicines and Surgical Consumable Items; Delhi/NCR, preferably within 50 ...",Local Chemist Empanelment Service Branded,Delhi,2500000.0,0.0,NOT_ELIGIBLE,50.0
Sharma Enterprises,Delhi (NCR),"52231, 52243, 33200, 3312, 33129","MSME, UDYAM, GEM-SP",UDYAM-DL-02-0019489,"Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - IN VESSEL; DI/ DR OF EPM CONVERTOR C...","Repair, Maintenance, and Installation Plant/",Central Government,644733.0,0.0,NOT_ELIGIBLE,50.0
Sharma Manufacturer,Haryana,"13000, 14130, 18130","MSME, UDYAM, ISO-14001",N/A,"Leather Cross Belt - Uniforms,Leather Cross Belt - Uniforms,Leather Cross Belt - Uniforms",Apparel & Clothing,Central Government,57048485.0,0.0,NOT_ELIGIBLE,50.0
GemEdge,Delhi (NCR),"10000, 11000","MSME, UDYAM, ISO-9001, ISO-14001, GEM-SP, GEM-OEM, FSSAI",N/A,"Black Pepper (???? ?????),Large Cardamom (Badi Elaichi) as per IS 13446,Chili (??? ?????),Cloves (????),Cumin (????),...",Food Products,Central Government,1216250000.0,0.0,NOT_ELIGIBLE,50.0
